Stint Type,Island,Species,FirstName,LastName,Observer_Location,Date_Time_Start,Date_Time_End,Nest,Time_Arrive,Time_Depart,Provider,Recipient,Prey_Item_Code,Prey_Size_bill_lengths,Number_of_Items,Plot_Status
Chick Provisioning,METIN,ARTE,Brett ,Irving,South Cove Blind,6/25/00 13:30,6/25/00 16:30,3,,,UA,,I,U,1,Outside Plot
Chick Provisioning,METIN,ARTE,Brett ,Irving,South Cove Blind,6/25/00 13:30,6/25/00 16:30,3,,,UA,,H,1.75,1,Outside Plot
Chick Provisioning,METIN,ARTE,Brett ,Irving,South Cove Blind,6/25/00 13:30,6/25/00 16:30,3,,,UA,,H,1.75,1,Outside Plot
Chick Provisioning,METIN,ARTE,Brett ,Irving,North End Blind,6/26/00 9:10,6/26/00 12:10,8,,,UA,,H,2,1,Outside Plot
Chick Provisioning,METIN,ARTE,Brett ,Irving,North End Blind,6/26/00 9:10,6/26/00 12:10,9,,,UA,,H,1.75,1,Outside Plot
Chick Provisioning,METIN,ARTE,Brett ,Irving,North End Blind,6/26/00 9:10,6/26/00 12:10,25,,,UA,,R,2.25,1,Outside Plot
Chick Provisioning,METIN,ARTE,Peter ,Warzybok,South Cove Blind,6/26/00 9:10,6/26/00 12:10,1,,,UA,,S,1.75,1,Outside Plot
Chick Provisioning,METIN,ARTE,Peter ,Warzybok,South Cove Blind,6/26/00 9:10,6/26/00 12:10,1,,,UA,,H,1.5,1,Outside Plot
Chick Provisioning,METIN,ARTE,Peter ,Warzybok,South Cove Blind,6/26/00 9:10,6/26/00 12:10,1,,,UA,,R,2,1,Outside Plot
Chick Provisioning,METIN,ARTE,Peter ,Warzybok,South Cove Blind,6/26/00 9:10,6/26/00 12:10,1,,,UA,,R,2,1,Outside Plot
Chick Provisioning,METIN,ARTE,Peter ,Warzybok,South Cove Blind,6/26/00 9:10,6/26/00 12:10,3,,,UA,,H,1.5,1,Outside Plot
Chick Provisioning,METIN,ARTE,Peter ,Warzybok,South Cove Blind,6/26/00 9:10,6/26/00 12:10,3,,,UA,,H,1.5,1,Outside Plot
Chick Provisioning,METIN,ARTE,Peter ,Warzybok,South Cove Blind,6/26/00 9:10,6/26/00 12:10,3,,,UA,,R,1.5,1,Outside Plot
Chick Provisioning,METIN,ARTE,Peter ,Warzybok,North End Blind,6/27/00 17:00,6/27/00 20:00,24,,,UA,,H,1.25,1,Outside Plot
Chick Provisioning,METIN,ARTE,Peter ,Warzybok,North End Blind,6/27/00 17:00,6/27/00 20:00,24,,,UA,,H,1.25,1,Outside Plot
Chick Provisioning,METIN,ARTE,Peter ,Warzybok,North End Blind,6/27/00 17:00,6/27/00 20:00,24,,,UA,,H,1.25,1,Outside Plot
Chick Provisioning,METIN,ARTE,Peter ,Warzybok,North End Blind,6/27/00 17:00,6/27/00 20:00,24,,,UA,,R,1.25,1,Outside Plot
Chick Provisioning,METIN,ARTE,Peter ,Warzybok,North End Blind,6/27/00 17:00,6/27/00 20:00,24,,,UA,,R,1.25,1,Outside Plot
Chick Provisioning,METIN,ARTE,Peter ,Warzybok,North End Blind,6/27/00 17:00,6/27/00 20:00,24,,,UA,,A,0.25,1,Outside Plot
Chick Provisioning,METIN,ARTE,Peter ,Warzybok,North End Blind,6/27/00 17:00,6/27/00 20:00,24,,,UA,,A,0.25,1,Outside Plot
Chick Provisioning,METIN,ARTE,Peter ,Warzybok,North End Blind,6/27/00 17:00,6/27/00 20:00,8,,,UA,,R,0.75,1,Outside Plot
Chick Provisioning,METIN,ARTE,Peter ,Warzybok,North End Blind,6/27/00 17:00,6/27/00 20:00,8,,,UA,,H,1,1,Outside Plot
Chick Provisioning,METIN,ARTE,Peter ,Warzybok,North End Blind,6/27/00 17:00,6/27/00 20:00,25,,,UA,,R,1.5,1,Outside Plot
Chick Provisioning,METIN,ARTE,Peter ,Warzybok,North End Blind,6/27/00 17:00,6/27/00 20:00,25,,,UA,,R,1.5,1,Outside Plot
Chick Provisioning,METIN,ARTE,Peter ,Warzybok,North End Blind,6/27/00 17:00,6/27/00 20:00,25,,,UA,,R,1.5,1,Outside Plot
Chick Provisioning,METIN,ARTE,Peter ,Warzybok,North End Blind,6/27/00 17:00,6/27/00 20:00,9,,,UA,,U,2,1,Outside Plot
Chick Provisioning,METIN,ARTE,Peter ,Warzybok,North End Blind,6/27/00 17:00,6/27/00 20:00,9,,,UA,,U,0.5,1,Outside Plot
Chick Provisioning,METIN,ARTE,Peter ,Warzybok,South Cove Blind,6/28/00 13:13,6/28/00 16:30,3,,,UA,,H,1.75,1,Outside Plot
Chick Provisioning,METIN,ARTE,Peter ,Warzybok,South Cove Blind,6/28/00 13:13,6/28/00 16:30,3,,,UA,,R,2,1,Outside Plot
Chick Provisioning,METIN,ARTE,Peter ,Warzybok,South Cove Blind,6/28/00 13:13,6/28/00 16:30,1,,,UA,,H,1.25,1,Outside Plot
Chick Provisioning,METIN,ARTE,Peter ,Warzybok,South Cove Blind,6/28/00 13:13,6/28/00 16:30,1,,,UA,,H,1.25,1,Outside Plot
Chick Provisioning,METIN,ARTE,Peter ,Warzybok,South Cove Blind,6/28/00 13:13,6/28/00 16:30,1,,,UA,,R,1.5,1,Outside Plot
Chick Provisioning,METIN,ARTE,Peter ,Warzybok,South Cove Blind,6/28/00 13:13,6/28/00 16:30,1,,,UA,,R,1.5,1,Outside Plot
Chick Provisioning,METIN,ARTE,Peter ,Warzybok,South Cove Blind,6/28/00 13:13,6/28/00 16:30,1,,,UA,,R,1.5,1,Outside Plot
Chick Provisioning,METIN,ARTE,Brett ,Irving,North End Blind,6/28/00 13:40,6/28/00 16:40,9,,,UA,,H,1.75,1,Outside Plot
Chick Provisioning,METIN,ARTE,Brett ,Irving,North End Blind,6/28/00 13:40,6/28/00 16:40,9,,,UA,,H,1.75,1,Outside Plot
Chick Provisioning,METIN,ARTE,Brett ,Irving,North End Blind,6/28/00 13:40,6/28/00 16:40,9,,,UA,,R,1.25,1,Outside Plot
Chick Provisioning,METIN,ARTE,Brett ,Irving,North End Blind,6/28/00 13:40,6/28/00 16:40,24,,,UA,,H,1.75,1,Outside Plot
Chick Provisioning,METIN,ARTE,Brett ,Irving,North End Blind,6/28/00 13:40,6/28/00 16:40,24,,,UA,,H,1.75,1,Outside Plot
Chick Provisioning,METIN,ARTE,Brett ,Irving,North End Blind,6/28/00 13:40,6/28/00 16:40,25,,,UA,,H,2.25,1,Outside Plot
Chick Provisioning,METIN,ARTE,Brett ,Irving,North End Blind,6/28/00 13:40,6/28/00 16:40,25,,,UA,,H,2.25,1,Outside Plot
Chick Provisioning,METIN,ARTE,Brett ,Irving,North End Blind,6/28/00 13:40,6/28/00 16:40,8,,,UA,,R,1.25,1,Outside Plot
Chick Provisioning,METIN,ARTE,Brett ,Irving,North End Blind,6/28/00 13:40,6/28/00 16:40,8,,,UA,,H,2,1,Outside Plot
Chick Provisioning,METIN,ARTE,Brett ,Irving,South Cove Blind,6/29/00 5:00,6/29/00 8:00,1,,,UA,,H,1.75,1,Outside Plot
Chick Provisioning,METIN,ARTE,Brett ,Irving,South Cove Blind,6/29/00 5:00,6/29/00 8:00,1,,,UA,,H,1.75,1,Outside Plot
Chick Provisioning,METIN,ARTE,Brett ,Irving,South Cove Blind,6/29/00 5:00,6/29/00 8:00,3,,,UA,,H,1.5,1,Outside Plot
Chick Provisioning,METIN,ARTE,Brett ,Irving,South Cove Blind,6/29/00 5:00,6/29/00 8:00,3,,,UA,,R,1,1,Outside Plot
Chick Provisioning,METIN,ARTE,Peter ,Warzybok,North End Blind,6/29/00 15:00,6/29/00 17:00,8,,,UA,,H,1.75,1,Outside Plot
Chick Provisioning,METIN,ARTE,Peter ,Warzybok,North End Blind,6/29/00 15:00,6/29/00 17:00,8,,,UA,,H,1.75,1,Outside Plot
Chick Provisioning,METIN,ARTE,Peter ,Warzybok,North End Blind,6/29/00 15:00,6/29/00 17:00,8,,,UA,,A,0.25,1,Outside Plot
Chick Provisioning,METIN,ARTE,Peter ,Warzybok,North End Blind,6/29/00 15:00,6/29/00 17:00,25,,,UA,,R,1.25,1,Outside Plot
Chick Provisioning,METIN,ARTE,Peter ,Warzybok,North End Blind,6/29/00 15:00,6/29/00 17:00,25,,,UA,,H,1,1,Outside Plot
Chick Provisioning,METIN,ARTE,Peter ,Warzybok,North End Blind,6/29/00 15:00,6/29/00 17:00,25,,,UA,,H,1,1,Outside Plot
Chick Provisioning,METIN,ARTE,Peter ,Warzybok,North End Blind,6/29/00 15:00,6/29/00 17:00,25,,,UA,,H,1,1,Outside Plot
Chick Provisioning,METIN,ARTE,Peter ,Warzybok,North End Blind,6/29/00 15:00,6/29/00 17:00,24,,,UA,,A,0.25,1,Outside Plot
Chick Provisioning,METIN,ARTE,Peter ,Warzybok,North End Blind,6/29/00 15:00,6/29/00 17:00,24,,,UA,,A,0.25,1,Outside Plot
Chick Provisioning,METIN,ARTE,Peter ,Warzybok,North End Blind,6/29/00 15:00,6/29/00 17:00,24,,,UA,,A,0.25,1,Outside Plot
Chick Provisioning,METIN,ARTE,Peter ,Warzybok,North End Blind,6/29/00 15:00,6/29/00 17:00,24,,,UA,,A,0.25,1,Outside Plot
Chick Provisioning,METIN,ARTE,Peter ,Warzybok,North End Blind,6/29/00 15:00,6/29/00 17:00,24,,,UA,,UF,0.75,1,Outside Plot
Chick Provisioning,METIN,ARTE,Peter ,Warzybok,North End Blind,6/29/00 15:00,6/29/00 17:00,10,,,UA,,H,0.75,1,Outside Plot
Chick Provisioning,METIN,ARTE,Peter ,Warzybok,North End Blind,6/29/00 15:00,6/29/00 17:00,10,,,UA,,H,0.75,1,Outside Plot
Chick Provisioning,METIN,ARTE,Peter ,Warzybok,North End Blind,6/29/00 15:00,6/29/00 17:00,10,,,UA,,H,0.75,1,Outside Plot
Chick Provisioning,METIN,ARTE,Peter ,Warzybok,North End Blind,6/29/00 15:00,6/29/00 17:00,10,,,UA,,H,0.75,1,Outside Plot
Chick Provisioning,METIN,ARTE,Peter ,Warzybok,North End Blind,6/29/00 15:00,6/29/00 17:00,10,,,UA,,H,0.75,1,Outside Plot
Chick Provisioning,METIN,ARTE,Peter ,Warzybok,North End Blind,6/29/00 15:00,6/29/00 17:00,10,,,UA,,H,0.75,1,Outside Plot
Chick Provisioning,METIN,ARTE,Peter ,Warzybok,North End Blind,6/29/00 15:00,6/29/00 17:00,10,,,UA,,H,0.75,1,Outside Plot
Chick Provisioning,METIN,ARTE,Peter ,Warzybok,North End Blind,6/29/00 15:00,6/29/00 17:00,10,,,UA,,UF,0.75,1,Outside Plot
Chick Provisioning,METIN,ARTE,Peter ,Warzybok,North End Blind,6/29/00 15:00,6/29/00 17:00,10,,,UA,,UF,0.75,1,Outside Plot
Chick Provisioning,METIN,ARTE,Peter ,Warzybok,North End Blind,6/29/00 15:00,6/29/00 17:00,9,,,UA,,R,1.25,1,Outside Plot
Chick Provisioning,METIN,ARTE,Peter ,Warzybok,North End Blind,6/29/00 15:00,6/29/00 17:00,9,,,UA,,R,1.25,1,Outside Plot
Chick Provisioning,METIN,ARTE,Peter ,Warzybok,North End Blind,6/29/00 15:00,6/29/00 17:00,9,,,UA,,H,1.25,1,Outside Plot
Chick Provisioning,METIN,ARTE,Peter ,Warzybok,North End Blind,6/29/00 15:00,6/29/00 17:00,9,,,UA,,H,1.25,1,Outside Plot
Chick Provisioning,METIN,ARTE,Peter ,Warzybok,South Cove Blind,6/30/00 14:00,6/30/00 17:00,1,,,UA,,R,1.5,1,Outside Plot
Chick Provisioning,METIN,ARTE,Peter ,Warzybok,South Cove Blind,6/30/00 14:00,6/30/00 17:00,1,,,UA,,R,1.5,1,Outside Plot
Chick Provisioning,METIN,ARTE,Peter ,Warzybok,South Cove Blind,6/30/00 14:00,6/30/00 17:00,1,,,UA,,R,1.5,1,Outside Plot
Chick Provisioning,METIN,ARTE,Peter ,Warzybok,South Cove Blind,6/30/00 14:00,6/30/00 17:00,1,,,UA,,H,1,1,Outside Plot
Chick Provisioning,METIN,ARTE,Peter ,Warzybok,South Cove Blind,6/30/00 14:00,6/30/00 17:00,1,,,UA,,H,1,1,Outside Plot
Chick Provisioning,METIN,ARTE,Peter ,Warzybok,South Cove Blind,6/30/00 14:00,6/30/00 17:00,1,,,UA,,H,1,1,Outside Plot
Chick Provisioning,METIN,ARTE,Peter ,Warzybok,South Cove Blind,6/30/00 14:00,6/30/00 17:00,1,,,UA,,H,1,1,Outside Plot
Chick Provisioning,METIN,ARTE,Peter ,Warzybok,South Cove Blind,6/30/00 14:00,6/30/00 17:00,1,,,UA,,H,1,1,Outside Plot
Chick Provisioning,METIN,ARTE,Peter ,Warzybok,South Cove Blind,6/30/00 14:00,6/30/00 17:00,3,,,UA,,H,1,1,Outside Plot
Chick Provisioning,METIN,ARTE,Peter ,Warzybok,South Cove Blind,6/30/00 14:00,6/30/00 17:00,3,,,UA,,H,1,1,Outside Plot
Chick Provisioning,METIN,ARTE,Peter ,Warzybok,South Cove Blind,6/30/00 14:00,6/30/00 17:00,3,,,UA,,H,1,1,Outside Plot
Chick Provisioning,METIN,ARTE,Peter ,Warzybok,South Cove Blind,6/30/00 14:00,6/30/00 17:00,3,,,UA,,H,1,1,Outside Plot
Chick Provisioning,METIN,ARTE,Peter ,Warzybok,South Cove Blind,6/30/00 14:00,6/30/00 17:00,3,,,UA,,UF,1,1,Outside Plot
Chick Provisioning,METIN,ARTE,Peter ,Warzybok,South Cove Blind,6/30/00 14:00,6/30/00 17:00,3,,,UA,,UF,1,1,Outside Plot
Chick Provisioning,METIN,ARTE,Peter ,Warzybok,South Cove Blind,6/30/00 14:00,6/30/00 17:00,3,,,UA,,A,0.25,1,Outside Plot
Chick Provisioning,METIN,ARTE,Peter ,Warzybok,South Cove Blind,6/30/00 14:00,6/30/00 17:00,6,,,UA,,H,0.75,1,Outside Plot
Chick Provisioning,METIN,ARTE,Peter ,Warzybok,South Cove Blind,6/30/00 14:00,6/30/00 17:00,6,,,UA,,H,0.75,1,Outside Plot
Chick Provisioning,METIN,ARTE,Peter ,Warzybok,South Cove Blind,6/30/00 14:00,6/30/00 17:00,6,,,UA,,H,0.75,1,Outside Plot
Chick Provisioning,METIN,ARTE,Peter ,Warzybok,South Cove Blind,6/30/00 14:00,6/30/00 17:00,6,,,UA,,A,0.25,1,Outside Plot
Chick Provisioning,METIN,ARTE,Peter ,Warzybok,South Cove Blind,6/30/00 14:00,6/30/00 17:00,7,,,UA,,H,0.5,1,Outside Plot
Chick Provisioning,METIN,ARTE,Peter ,Warzybok,South Cove Blind,6/30/00 14:00,6/30/00 17:00,7,,,UA,,H,0.5,1,Outside Plot
Chick Provisioning,METIN,ARTE,Peter ,Warzybok,North End Blind,7/1/00 8:00,7/1/00 11:00,24,,,UA,,H,1.5,1,Outside Plot
Chick Provisioning,METIN,ARTE,Peter ,Warzybok,North End Blind,7/1/00 8:00,7/1/00 11:00,24,,,UA,,H,1.5,1,Outside Plot
Chick Provisioning,METIN,ARTE,Peter ,Warzybok,North End Blind,7/1/00 8:00,7/1/00 11:00,24,,,UA,,H,1.5,1,Outside Plot
Chick Provisioning,METIN,ARTE,Peter ,Warzybok,North End Blind,7/1/00 8:00,7/1/00 11:00,24,,,UA,,R,1.25,1,Outside Plot
Chick Provisioning,METIN,ARTE,Peter ,Warzybok,North End Blind,7/1/00 8:00,7/1/00 11:00,24,,,UA,,R,1.25,1,Outside Plot
Chick Provisioning,METIN,ARTE,Peter ,Warzybok,North End Blind,7/1/00 8:00,7/1/00 11:00,24,,,UA,,UF,1,1,Outside Plot
Chick Provisioning,METIN,ARTE,Peter ,Warzybok,North End Blind,7/1/00 8:00,7/1/00 11:00,9,,,UA,,H,1.5,1,Outside Plot
Chick Provisioning,METIN,ARTE,Peter ,Warzybok,North End Blind,7/1/00 8:00,7/1/00 11:00,9,,,UA,,H,1.5,1,Outside Plot
Chick Provisioning,METIN,ARTE,Peter ,Warzybok,North End Blind,7/1/00 8:00,7/1/00 11:00,9,,,UA,,R,1.75,1,Outside Plot
Chick Provisioning,METIN,ARTE,Peter ,Warzybok,North End Blind,7/1/00 8:00,7/1/00 11:00,9,,,UA,,UF,U,1,Outside Plot
Chick Provisioning,METIN,ARTE,Peter ,Warzybok,North End Blind,7/1/00 8:00,7/1/00 11:00,10,,,UA,,H,1,1,Outside Plot
Chick Provisioning,METIN,ARTE,Peter ,Warzybok,North End Blind,7/1/00 8:00,7/1/00 11:00,10,,,UA,,H,1,1,Outside Plot
Chick Provisioning,METIN,ARTE,Peter ,Warzybok,South Cove Blind,7/2/00 9:00,7/2/00 12:00,1,,,UA,,R,1.75,1,Outside Plot
Chick Provisioning,METIN,ARTE,Peter ,Warzybok,South Cove Blind,7/2/00 9:00,7/2/00 12:00,1,,,UA,,R,1.75,1,Outside Plot
Chick Provisioning,METIN,ARTE,Peter ,Warzybok,South Cove Blind,7/2/00 9:00,7/2/00 12:00,1,,,UA,,H,1.25,1,Outside Plot
Chick Provisioning,METIN,ARTE,Peter ,Warzybok,South Cove Blind,7/2/00 9:00,7/2/00 12:00,3,,,UA,,R,1.5,1,Outside Plot
Chick Provisioning,METIN,ARTE,Peter ,Warzybok,South Cove Blind,7/2/00 9:00,7/2/00 12:00,3,,,UA,,R,1.5,1,Outside Plot
Chick Provisioning,METIN,ARTE,Peter ,Warzybok,South Cove Blind,7/2/00 9:00,7/2/00 12:00,3,,,UA,,R,1.5,1,Outside Plot
Chick Provisioning,METIN,ARTE,Peter ,Warzybok,South Cove Blind,7/2/00 9:00,7/2/00 12:00,3,,,UA,,H,1.25,1,Outside Plot
Chick Provisioning,METIN,ARTE,Peter ,Warzybok,South Cove Blind,7/2/00 9:00,7/2/00 12:00,3,,,UA,,H,1.25,1,Outside Plot
Chick Provisioning,METIN,ARTE,Peter ,Warzybok,South Cove Blind,7/2/00 9:00,7/2/00 12:00,6,,,UA,,H,1,1,Outside Plot
Chick Provisioning,METIN,ARTE,Peter ,Warzybok,South Cove Blind,7/2/00 9:00,7/2/00 12:00,7,,,UA,,R,1.75,1,Outside Plot
Chick Provisioning,METIN,ARTE,Peter ,Warzybok,South Cove Blind,7/2/00 9:00,7/2/00 12:00,7,,,UA,,H,1.25,1,Outside Plot
Chick Provisioning,METIN,ARTE,Peter ,Warzybok,South Cove Blind,7/2/00 9:00,7/2/00 12:00,7,,,UA,,H,1.25,1,Outside Plot
Chick Provisioning,METIN,ARTE,Peter ,Warzybok,South Cove Blind,7/2/00 9:00,7/2/00 12:00,7,,,UA,,A,0.25,1,Outside Plot
Chick Provisioning,METIN,ARTE,Peter ,Warzybok,South Cove Blind,7/2/00 9:00,7/2/00 12:00,7,,,UA,,UF,1.5,1,Outside Plot
Chick Provisioning,METIN,ARTE,Peter ,Warzybok,North End Blind,7/3/00 15:00,7/3/00 18:00,9,,,UA,,H,1.5,1,Outside Plot
Chick Provisioning,METIN,ARTE,Peter ,Warzybok,North End Blind,7/3/00 15:00,7/3/00 18:00,9,,,UA,,H,1.5,1,Outside Plot
Chick Provisioning,METIN,ARTE,Peter ,Warzybok,North End Blind,7/3/00 15:00,7/3/00 18:00,24,,,UA,,H,1.75,1,Outside Plot
Chick Provisioning,METIN,ARTE,Peter ,Warzybok,North End Blind,7/3/00 15:00,7/3/00 18:00,8,,,UA,,R,2,1,Outside Plot
Chick Provisioning,METIN,ARTE,Peter ,Warzybok,South Cove Blind,7/4/00 14:30,7/4/00 17:30,1,,,UA,,R,1.5,1,Outside Plot
Chick Provisioning,METIN,ARTE,Peter ,Warzybok,South Cove Blind,7/4/00 14:30,7/4/00 17:30,1,,,UA,,R,1.5,1,Outside Plot
Chick Provisioning,METIN,ARTE,Peter ,Warzybok,South Cove Blind,7/4/00 14:30,7/4/00 17:30,1,,,UA,,R,1.5,1,Outside Plot
Chick Provisioning,METIN,ARTE,Peter ,Warzybok,South Cove Blind,7/4/00 14:30,7/4/00 17:30,1,,,UA,,R,1.5,1,Outside Plot
Chick Provisioning,METIN,ARTE,Peter ,Warzybok,South Cove Blind,7/4/00 14:30,7/4/00 17:30,1,,,UA,,R,1.5,1,Outside Plot
Chick Provisioning,METIN,ARTE,Peter ,Warzybok,South Cove Blind,7/4/00 14:30,7/4/00 17:30,6,,,UA,,H,1,1,Outside Plot
Chick Provisioning,METIN,ARTE,Peter ,Warzybok,South Cove Blind,7/4/00 14:30,7/4/00 17:30,6,,,UA,,H,1,1,Outside Plot
Chick Provisioning,METIN,ARTE,Peter ,Warzybok,South Cove Blind,7/4/00 14:30,7/4/00 17:30,6,,,UA,,UF,U,1,Outside Plot
Chick Provisioning,METIN,ARTE,Peter ,Warzybok,South Cove Blind,7/4/00 14:30,7/4/00 17:30,3,,,UA,,R,2,1,Outside Plot
Chick Provisioning,METIN,ARTE,Peter ,Warzybok,North End Blind,7/5/00 5:00,7/5/00 8:00,8,,,UA,,A,0.25,1,Outside Plot
Chick Provisioning,METIN,ARTE,Peter ,Warzybok,North End Blind,7/5/00 5:00,7/5/00 8:00,8,,,UA,,A,0.25,1,Outside Plot
Chick Provisioning,METIN,ARTE,Peter ,Warzybok,North End Blind,7/5/00 5:00,7/5/00 8:00,8,,,UA,,A,0.25,1,Outside Plot
Chick Provisioning,METIN,ARTE,Peter ,Warzybok,North End Blind,7/5/00 5:00,7/5/00 8:00,8,,,UA,,A,0.25,1,Outside Plot
Chick Provisioning,METIN,ARTE,Peter ,Warzybok,North End Blind,7/5/00 5:00,7/5/00 8:00,8,,,UA,,H,1,1,Outside Plot
Chick Provisioning,METIN,ARTE,Peter ,Warzybok,North End Blind,7/5/00 5:00,7/5/00 8:00,8,,,UA,,H,1,1,Outside Plot
Chick Provisioning,METIN,ARTE,Peter ,Warzybok,North End Blind,7/5/00 5:00,7/5/00 8:00,8,,,UA,,H,1,1,Outside Plot
Chick Provisioning,METIN,ARTE,Peter ,Warzybok,North End Blind,7/5/00 5:00,7/5/00 8:00,8,,,UA,,R,1.5,1,Outside Plot
Chick Provisioning,METIN,ARTE,Peter ,Warzybok,North End Blind,7/5/00 5:00,7/5/00 8:00,8,,,UA,,R,1.5,1,Outside Plot
Chick Provisioning,METIN,ARTE,Peter ,Warzybok,North End Blind,7/5/00 5:00,7/5/00 8:00,8,,,UA,,UF,1,1,Outside Plot
Chick Provisioning,METIN,ARTE,Brett ,Irving,North End Blind,7/6/00 7:45,7/6/00 10:45,8,,,UA,,H,1.75,1,Outside Plot
